LGA,ABB_NAME,Lat,Long,Accidents_2020,Accidents_2019,Area, Population ,Percentage Difference
QUEENSCLIFFE,Queenscliffe,-38.2667,144.65,1,6,3435,"2,982.00",-83.33
WODONGA,Wodonga,-36.1214,146.8881,63,67,490,"41,429.00",-5.97
MORNINGTON PENINSULA,Mornington Peninsula,-38.4333,145,80,291,724,"165,822.00",-72.51
MANNINGHAM,Manningham,-37.767,145.2,53,188,1748,"125,508.00",-71.81
CASEY,Casey,-38.09,145.323,210,649,1283,"340,419.00",-67.64
WHITEHORSE,Whitehorse,-37.833,145.15,106,319,9108,"176,196.00",-66.77
KINGSTON,Kingston,-37.983,145.1,112,322,2040,"163,431.00",-65.22
CARDINIA,Cardinia,-38.083,145.583,86,244,4519,"107,120.00",-64.75
MELBOURNE,Melbourne,-37.8136,144.9631,265,750,61,"169,961.00",-64.67
MONASH,Monash,-37.883,145.167,173,486,4046,"200,077.00",-64.40
BANYULE,Banyule,-37.7333,145.0833,76,213,739,"130,237.00",-64.32
ALPINE,Alpine,-36.52678332,146.6854467,22,60,"4,788","12,730.00",-63.33
BOROONDARA,Boroondara,-37.817,145.067,117,317,2353,"181,289.00",-63.09
YARRA,Yarra,-37.817,145,122,330,542,"98,521.00",-63.03
STONNINGTON,Stonnington,-37.8562,145.0296,106,286,6654,"116,207.00",-62.94
WHITTLESEA,Whittlesea,-37.55,145.083,161,430,64,"223,322.00",-62.56
HUME,Hume,-37.683,144.917,198,511,4267,"224,394.00",-61.25
KNOX,Knox,-37.883,145.217,103,265,91,"163,203.00",-61.13
DAREBIN,Darebin,-37.733,145.017,158,405,4408,"161,609.00",-60.99
BRIMBANK,Brimbank,-37.75,144.8,173,443,60,"208,714.00",-60.95
BASS COAST,Bass Coast,-38.5333,145.5333,33,83,866,"35,327.00",-60.24
MACEDON RANGES,Macedon Ranges,-37.35,144.6167,40,99,1748,"49,388.00",-59.60
MORELAND,Moreland,-37.733,144.95,157,387,2111,"181,725.00",-59.43
MOONEE VALLEY,Moonee Valley,-37.767,144.917,100,243,43,"127,883.00",-58.85
NORTHERN GRAMPIANS,Northern Grampians,-36.65,143.0167,14,34,5730,"11,431.00",-58.82
BALLARAT,Ballarat,-37.5609,143.855,112,272,4211,"107,325.00",-58.82
BAW BAW,Baw Baw,-37.95,146.1167,66,159,4028,"52,015.00",-58.49
GLEN EIRA,Glen Eira,-37.733,145.05,100,239,39,"153,858.00",-58.16
BAYSIDE,Bayside,-37.88654761,144.9916483,70,166,4028,"105,718.00",-57.83
PORT PHILLIP,Port phillip,-37.85,144.967,107,253,21,"113,200.00",-57.71
MAROONDAH,Maroondah,-37.809,145.23,89,207,31,"117,498.00",-57.00
DANDENONG,Greater Dandenong,-37.9875,145.2149,208,483,4408,"166,094.00",-56.94
HOBSONS BAY,Hobsons Bay,-37.85,144.833,93,215,64,"96,470.00",-56.74
MARIBYRNONG,Maribyrnong,-37.77,144.893,90,205,3844,"91,387.00",-56.10
GEELONG,Geelong,-38.15,144.35,246,554,3735,"252,217.00",-55.60
NILLUMBIK,Nillumbik,-37.633,145.233,63,139,3880,"64,941.00",-54.68
FRANKSTON,Frankston,-38.1414,145.1225,111,243,20940,"141,845.00",-54.32
SOUTHERN GRAMPIANS,Southern Grampians,-37.5167,142.0333,17,35,6654,"16,135.00",-51.43
WYNDHAM,Wyndham,-37.9,144.667,195,397,433,"255,322.00",-50.88
ARARAT,Ararat,-37.2833,142.9167,15,30,4788,"11,795.00",-50.00
MOUNT ALEXANDER,Mount Alexander,-37.0667,144.2167,19,38,1530,"19,514.00",-50.00
MELTON,Melton,-37.6827,144.5741,135,267,37,"156,713.00",-49.44
YARRA RANGES,Yarra Ranges,-37.733,145.683,194,362,2468,"158,173.00",-46.41
MANSFIELD,Mansfield,-37.05,146.0833,26,41,113,"8,979.00",-36.59
SURF COAST,Surf Coast,-38.3,144,58,87,1553,"32,251.00",-33.33
SOUTH GIPPSLAND,South Gippsland,-38.5833,146,49,73,3435,"29,579.00",-32.88
GOLDEN PLAINS,Golden Plains,-38.0167,143.9667,45,67,2703,"23,120.00",-32.84
EAST GIPPSLAND,East Gippsland,-37.4833,148.1667,62,90,20940,"46,818.00",-31.11
COLAC OTWAY,Colac Otway,-38.3333,143.5833,62,86,3438,"21,503.00",-27.91
STRATHBOGIE,Strathbogie,-36.75,145.5667,29,39,26,"10,645.00",-25.64
BENDIGO,Greater Bendigo,-36.7593,144.284,200,263,2353,"116,045.00",-23.95
LODDON,Loddon,-36.4183,143.8667,23,29,1426,"7,513.00",-20.69
CENTRAL GOLDFIELDS,Central Goldfields,-37.05,143.7333,26,32,1533,"13,209.00",-18.75
TOWONG,Towong,-36.3167,147.4833,31,38,6115,"6,054.00",-18.42
SHEPPARTON,Greater Shepparton,-36.3833,145.4,120,147,8.6,"66,007.00",-18.37
HORSHAM,Horsham,-36.833,142.083,38,46,64,"19,875.00",-17.39
HEPBURN,Hepburn,-37.3139,144.1378,31,37,2422,"15,812.00",-16.22
MURRINDINDI,Murrindindi,-37.3333,145.5,88,105,5482,"14,478.00",-16.19
MITCHELL,Mitchell,-37.1,145.0667,108,128,22083,"44,299.00",-15.63
HINDMARSH,Hindmarsh,-36.1333,141.65,11,13,1473,"5,645.00",-15.38
MILDURA,Mildura,-34.1833,142.15,85,100,528,"55,515.00",-15.00
BULOKE,Buloke,-36,142.9878,12,14,123,"6,184.00",-14.29
CAMPASPE,Campaspe,-36.3611,144.7339,78,90,8000,"37,592.00",-13.33
WANGARATTA,Wangaratta,-36.357,146.3202,65,75,6675,"29,087.00",-13.33
SWAN HILL,Swan Hill,-35.3406,143.5606,26,30,6115,"20,759.00",-13.33
LATROBE,Latrobe,-38.1806,146.2783,140,159,114,"75,211.00",-11.95
WARRNAMBOOL,Warrnambool,-38.3865,142.4821,45,51,3645,"34,862.00",-11.76
MOORABOOL,Moorabool,-37.6,144.25,84,94,43,"34,158.00",-10.64
MOYNE,Moyne,-38.367,142.233,61,68,1530,"16,887.00",-10.29
WELLINGTON,Wellington,-37.8833,146.9833,114,127,121,"44,019.00",-10.24
GANNAWARRA,Gannawarra,-35.7167,143.9167,20,22,130,"10,547.00",-9.09
WEST WIMMERA,West Wimmera,-36.7167,141.4667,10,11,9108,"3,862.00",-9.09
INDIGO,Indigo,-36.1885,146.7466,33,36,504,"16,490.00",-8.33
GLENELG,Glenelg,-38,141.6667,53,57,39,"19,665.00",-7.02
BENALLA,Benalla,-36.5519,145.9817,45,48,37,"14,024.00",-6.25
PYRENEES,Pyrenees,-37.1667,143.4167,30,32,21,"7,353.00",-6.25
MOIRA,Moira,-36.0833,145.65,65,68,2862,"29,799.00",-4.41
CORANGAMITE,Corangamite,-38.2333,143.15,47,49,3438,"16,140.00",-4.08
YARRIAMBIACK,Yarriambiack,-36.25,142.4167,9,7,2468,"6,658.00",28.57
